# time, x(m), y(m), z(m), roll(deg), pitch(deg), yaw(deg)
# at least 2 lines, the second line is still time
0,     0,   0,    1,    0, 0,  -60
4,   0,   0,    1,    0, 0,  -60
5,    1.5,  -2,   1,    0, 0,  -45
7,    3.5,  -3.5, 1,    0, 0,  -10
10,   6.0,  -4.0, 1,    0, 0,  30
13,   8.0,  0,    1,    0, 0,  90   
16,   6.0, 2.0,   1,    0, 0,  140
20,    2.2, 1.6,   1,    0, 0,  260
24,    -2,  -2.5,  1,    0, 0,  230
28,    -4,  -5.5,  1,    0, 0,  180
32,    -7.8, -2,   1,    0, 0,  90
36,    -4,   3,    1,    0, 0,  0
40,     0,   0,    1,    0, 0,  -45
